W,Kper9,IP,ERA,WHIP,Inducted
100,3.42,1932.9,3.42,1.25,N
120,7.96,1926.0,3.07,1.32,N
123,4.69,1921.0,3.94,1.27,N
130,3.84,1918.0,4.27,1.39,N
127,4.71,1915.4,4.38,1.46,N
127,4.49,1914.5,3.43,1.26,N
133,4.25,1907.4,2.92,1.19,N
105,2.36,1899.9,3.44,1.31,N
122,6.69,1898.2,3.58,1.28,N
127,6.25,1889.2,3.85,1.30,N
131,6.12,1885.9,3.39,1.16,N
116,7.69,1879.9,3.24,1.26,N
114,8.40,1866.6,3.36,1.14,N
134,7.81,1849.0,3.19,1.26,N
111,3.43,1848.9,3.74,1.35,N
128,4.46,1840.9,2.97,1.22,N
132,4.67,1819.1,3.72,1.32,N
82,2.65,1818.0,3.81,1.42,N
103,3.26,1814.8,3.85,1.36,N
115,5.34,1809.6,3.66,1.30,N
124,7.47,1809.3,3.01,1.23,Y
92,6.46,1807.7,3.81,1.35,N
110,4.04,1807.0,3.92,1.29,N
117,4.95,1796.9,3.12,1.20,N
114,7.05,1791.6,4.09,1.31,N
107,5.36,1788.4,3.97,1.35,N
106,4.46,1761.0,3.79,1.32,N
107,6.40,1760.4,3.74,1.28,N
100,5.02,1746.8,3.68,1.31,N
102,4.43,1740.3,4.03,1.50,N
100,7.54,1730.4,3.47,1.19,N
119,4.50,1722.9,3.15,1.25,N
111,5.64,1722.6,3.76,1.33,N
122,5.14,1718.7,4.00,1.33,N
100,5.78,1716.8,3.60,1.30,N
109,3.53,1703.7,3.81,1.36,N
114,6.87,1701.3,2.90,1.16,Y
110,5.58,1674.7,3.08,1.15,N
87,4.77,1674.0,4.25,1.43,N
73,3.61,1651.4,3.74,1.35,Y
107,8.37,1606.0,3.15,1.24,N
103,5.05,1597.5,3.63,1.35,N
83,3.88,1597.3,3.80,1.31,N
75,3.14,1583.0,3.06,1.28,N
88,6.71,1576.0,3.40,1.24,N
87,3.28,1567.6,3.79,1.35,N
87,3.70,1555.1,4.14,1.39,N
69,5.19,1551.4,3.37,1.35,N
80,6.03,1548.8,4.36,1.47,N
81,4.94,1548.0,3.78,1.40,N
102,3.53,1546.7,2.92,1.24,N
85,4.75,1538.8,3.41,1.19,N
84,5.61,1524.9,4.14,1.32,N
96,6.59,1514.8,3.14,1.25,N
83,2.53,1514.1,2.65,1.14,N
86,5.64,1497.7,3.98,1.42,N
109,3.72,1485.0,2.84,1.21,N
102,4.56,1479.8,3.43,1.32,N
95,3.63,1464.1,3.73,1.28,N
93,5.45,1455.3,3.66,1.37,N
117,6.20,1436.5,2.03,1.09,N
94,4.88,1436.3,2.85,1.25,N
100,4.43,1429.7,4.00,1.49,N
82,7.13,1403.5,3.46,1.34,N
99,5.65,1390.4,2.88,1.28,N
97,5.71,1386.7,3.14,1.29,N
104,5.74,1375.0,3.48,1.24,N
86,5.89,1358.7,3.46,1.31,N
96,4.53,1353.3,2.94,1.28,N
82,5.72,1321.1,3.30,1.30,N
90,6.89,1310.9,2.96,1.25,N
87,8.19,1295.0,3.16,1.26,N
86,7.18,1291.2,3.57,1.23,N
71,8.73,1289.4,3.03,1.26,N
68,5.06,1283.8,4.00,1.32,N
68,3.19,1257.3,3.14,1.24,N
90,7.04,1245.7,2.89,1.33,N
87,7.51,1241.9,2.83,1.27,N
62,5.23,1238.5,3.57,1.26,N
83,6.33,1229.3,3.54,1.33,N
94,3.60,1221.3,2.28,1.16,Y
63,3.38,1206.6,4.24,1.45,N
76,6.96,1191.0,3.38,1.30,N
62,7.62,1188.2,3.42,1.22,N
69,5.11,1177.5,3.52,1.39,N
63,2.86,1176.7,3.78,1.43,N
79,5.26,1174.8,2.79,1.33,N
80,7.14,1165.5,3.19,1.19,N
45,2.43,1161.8,4.49,1.51,N
51,7.92,1144.9,4.17,1.40,N
73,6.97,1132.4,3.16,1.20,N
69,2.62,1132.0,3.22,1.24,N
69,7.25,1128.2,3.30,1.24,N
56,5.67,1099.8,3.75,1.35,N
66,5.61,1091.9,3.12,1.36,N
64,1.43,1076.8,4.11,1.44,N
