W,Kper9,IP,ERA,WHIP,Inducted
171,5.79,3016.7,3.84,1.27,N
167,2.59,3012.5,3.96,1.43,N
194,3.11,2995.3,2.76,1.09,N
207,5.40,2993.0,3.06,1.31,Y
197,6.20,2966.6,3.24,1.23,Y
164,2.39,2966.3,3.61,1.37,N
186,4.71,2964.8,2.69,1.24,N
160,2.70,2964.4,4.04,1.45,N
195,5.27,2964.4,1.82,1.00,N
179,7.49,2962.5,3.97,1.35,N
193,7.04,2961.5,2.16,1.10,N
161,4.03,2945.7,4.24,1.50,N
171,1.90,2940.0,2.42,1.09,N
196,4.17,2937.1,3.09,1.27,N
174,6.65,2930.6,3.63,1.29,N
173,6.37,2930.0,3.54,1.32,N
173,3.40,2906.0,2.92,1.17,N
194,8.28,2898.8,3.46,1.26,N
198,3.93,2896.8,2.68,1.15,N
176,5.19,2895.3,3.44,1.25,N
253,0.44,2890.7,2.14,1.19,Y
203,3.81,2887.7,3.74,1.41,N
174,5.03,2867.4,3.49,1.29,N
169,3.14,2863.8,3.54,1.34,N
207,4.03,2849.9,3.23,1.34,Y
165,8.04,2840.1,4.22,1.25,N
158,5.14,2837.8,3.17,1.23,N
176,5.85,2836.4,3.73,1.30,N
161,5.30,2831.7,4.39,1.42,N
218,2.86,2828.7,2.83,1.16,N
219,10.04,2827.5,2.93,1.05,N
194,5.33,2826.4,3.57,1.37,N
174,2.67,2821.7,2.56,1.17,N
166,3.29,2820.7,3.75,1.39,N
156,4.33,2811.3,3.36,1.42,N
176,1.80,2809.9,3.85,1.45,N
185,5.23,2807.9,3.14,1.20,N
194,7.37,2800.7,3.51,1.26,N
168,3.65,2794.7,3.76,1.29,N
169,3.28,2782.6,2.98,1.27,N
192,3.69,2782.2,3.18,1.25,N
162,4.55,2776.0,2.78,1.29,N
141,4.55,2772.3,4.23,1.40,N
167,4.84,2770.0,3.90,1.33,N
139,2.77,2754.4,4.02,1.46,N
197,3.08,2750.4,2.79,1.19,N
178,4.67,2730.1,2.49,1.20,N
184,4.98,2730.0,3.24,1.21,N
142,2.37,2726.7,4.22,1.51,N
170,4.15,2725.7,3.23,1.35,N
151,5.73,2725.1,3.73,1.30,N
176,2.81,2721.9,3.86,1.40,N
169,6.89,2720.4,4.11,1.33,N
162,3.65,2719.5,3.32,1.32,N
165,2.79,2709.4,3.72,1.36,N
146,4.90,2708.0,3.68,1.33,N
184,2.81,2707.7,3.20,1.24,N
132,2.65,2706.0,3.96,1.42,N
171,5.60,2697.6,4.08,1.39,N
199,6.92,2687.3,3.31,1.17,N
164,4.73,2684.0,3.24,1.23,N
151,3.99,2683.6,4.03,1.41,N
177,5.15,2682.5,3.39,1.31,N
197,6.04,2682.2,3.42,1.24,N
187,3.30,2681.6,3.17,1.26,N
174,5.11,2678.8,3.82,1.27,N
171,4.09,2678.0,2.82,1.11,N
162,3.68,2672.1,3.77,1.28,N
164,4.25,2661.4,2.97,1.22,N
194,2.87,2660.7,2.47,1.14,N
175,5.80,2658.4,4.00,1.33,N
151,5.06,2652.0,3.38,1.24,N
166,6.00,2648.3,4.31,1.35,N
155,3.69,2644.1,4.16,1.45,N
131,4.66,2643.8,3.09,1.31,N
173,3.30,2634.0,3.51,1.39,N
182,3.89,2632.4,2.28,1.14,N
168,5.96,2629.4,3.95,1.34,N
193,3.38,2623.0,4.04,1.48,N
152,6.04,2621.9,3.46,1.25,N
152,2.26,2617.0,2.66,1.18,N
158,2.33,2613.3,4.41,1.48,N
189,3.21,2607.1,2.59,1.11,N
153,3.11,2603.3,4.07,1.49,N
169,6.91,2595.4,3.74,1.29,N
151,4.92,2593.6,3.59,1.31,N
186,5.34,2591.6,3.51,1.23,N
166,4.41,2587.0,3.55,1.37,N
124,4.63,2575.6,4.41,1.36,N
152,2.29,2569.8,3.22,1.25,N
142,6.05,2569.6,3.70,1.33,N
131,3.46,2567.6,2.74,1.21,N
191,7.77,2564.4,3.50,1.22,N
167,6.02,2562.6,3.34,1.14,N
163,5.66,2561.5,3.84,1.26,N
162,4.50,2559.9,3.93,1.28,N
171,2.11,2556.4,3.54,1.35,N
166,3.72,2554.7,3.81,1.34,N
140,4.92,2542.8,4.70,1.46,N
157,2.13,2542.1,3.72,1.26,N
145,3.79,2539.7,3.46,1.29,N
155,5.66,2535.0,3.73,1.24,N
146,4.84,2528.8,3.60,1.33,N
177,5.96,2525.7,3.33,1.18,N
159,4.04,2521.7,3.57,1.39,N
140,5.08,2517.5,4.23,1.37,N
150,3.40,2517.4,3.09,1.26,N
164,2.60,2511.3,3.78,1.41,N
155,7.18,2505.2,3.97,1.31,N
189,5.28,2503.0,3.34,1.35,Y
143,5.73,2501.3,4.39,1.41,N
135,5.81,2500.6,3.78,1.35,N
134,5.25,2493.9,3.99,1.38,N
141,8.86,2492.3,3.17,1.31,N
182,5.14,2492.3,3.30,1.39,N
142,6.25,2487.7,4.11,1.41,N
158,3.28,2482.4,3.36,1.34,N
146,5.38,2477.6,3.46,1.21,N
129,3.20,2477.3,3.73,1.35,N
131,1.92,2470.4,3.99,1.55,N
142,7.14,2464.9,4.83,1.57,N
157,5.39,2464.3,3.86,1.31,N
164,3.36,2461.7,2.10,1.04,Y
148,5.39,2451.1,4.22,1.26,N
146,5.60,2442.7,4.16,1.34,N
145,4.67,2441.6,3.63,1.29,N
166,3.17,2439.3,3.21,1.28,N
160,6.64,2436.3,3.93,1.31,N
141,4.32,2435.6,3.47,1.31,N
145,6.29,2417.4,3.92,1.33,N
141,5.92,2411.5,3.77,1.35,N
127,4.64,2410.5,3.65,1.29,N
137,3.51,2408.5,3.81,1.32,N
158,3.13,2407.4,2.77,1.21,N
171,6.89,2393.1,4.05,1.33,N
177,4.15,2392.4,2.36,1.10,N
170,6.69,2392.1,3.29,1.18,N
162,7.43,2391.0,3.80,1.39,N
138,2.80,2389.3,3.79,1.45,N
134,6.49,2387.9,4.06,1.33,N
134,4.99,2380.4,3.73,1.29,N
134,4.61,2375.3,2.42,1.17,N
144,4.14,2371.4,2.65,1.19,N
125,5.77,2363.0,3.18,1.23,N
142,4.77,2360.7,4.59,1.46,N
136,6.06,2360.3,3.87,1.33,N
117,4.99,2355.6,4.08,1.31,N
118,3.19,2354.2,4.12,1.49,N
167,3.07,2344.3,4.12,1.39,N
116,3.04,2342.5,3.16,1.32,N
119,4.46,2336.4,3.10,1.28,N
121,3.00,2335.8,2.79,1.22,N
139,5.76,2333.8,3.31,1.22,N
117,3.62,2331.3,3.56,1.36,N
160,3.56,2327.0,1.89,0.97,Y
158,2.65,2324.9,3.42,1.26,N
135,6.31,2324.9,3.43,1.30,N
165,9.28,2324.4,2.76,1.11,Y
158,4.08,2320.1,2.78,1.24,N
101,3.53,2318.4,3.60,1.32,N
140,4.37,2308.0,3.71,1.32,N
135,5.36,2302.8,3.90,1.34,N
124,3.90,2301.1,2.49,1.18,N
127,2.63,2297.0,4.03,1.41,N
162,1.99,2284.3,3.48,1.37,N
101,3.31,2281.2,4.09,1.40,N
130,4.60,2275.1,2.68,1.22,N
139,4.16,2273.1,2.59,1.17,N
136,2.96,2269.1,3.80,1.35,N
123,6.50,2268.4,3.22,1.27,N
121,3.48,2268.3,3.86,1.38,N
148,5.50,2268.3,4.06,1.44,N
132,7.01,2268.1,4.20,1.34,N
132,2.69,2265.7,3.21,1.29,N
148,5.70,2265.1,3.68,1.32,N
143,5.89,2265.0,4.35,1.31,N
143,6.43,2254.2,2.52,1.12,Y
106,2.48,2246.4,3.94,1.40,N
133,4.04,2242.0,3.22,1.26,N
126,5.09,2240.5,3.79,1.31,N
136,6.34,2235.1,3.63,1.23,N
