W,Kper9,IP,ERA,WHIP,Inducted
76,2.70,1580.9,4.01,1.45,N
95,3.41,1580.0,4.07,1.50,N
85,3.37,1576.4,2.38,1.13,N
88,6.71,1576.0,3.40,1.24,N
108,6.42,1571.3,4.32,1.38,N
87,3.28,1567.6,3.79,1.35,N
89,5.63,1567.6,5.26,1.39,N
89,2.33,1567.3,2.43,1.12,N
84,4.93,1567.3,4.81,1.46,N
77,3.31,1562.9,3.95,1.52,N
72,4.41,1562.4,3.88,1.45,N
88,2.57,1561.7,3.83,1.40,N
84,4.08,1558.5,4.22,1.40,N
78,5.43,1558.3,3.99,1.34,N
82,2.80,1557.0,4.97,1.56,N
89,6.80,1555.5,4.15,1.36,N
87,3.70,1555.1,4.14,1.39,N
96,5.67,1554.7,4.19,1.35,N
124,8.42,1553.6,3.40,1.17,N
69,5.19,1551.4,3.37,1.35,N
103,2.77,1551.2,3.06,1.15,N
72,4.18,1550.3,3.99,1.56,N
80,6.03,1548.8,4.36,1.47,N
75,6.17,1548.2,3.84,1.38,N
81,4.94,1548.0,3.78,1.40,N
101,5.42,1548.0,3.43,1.21,N
82,4.21,1547.0,4.74,1.34,N
102,3.53,1546.7,2.92,1.24,N
99,5.81,1546.4,3.77,1.34,N
93,5.65,1545.7,4.03,1.22,N
89,1.79,1542.6,4.24,1.44,N
86,4.05,1539.1,4.01,1.36,N
85,4.75,1538.8,3.41,1.19,N
73,4.21,1537.1,2.93,1.25,N
85,7.49,1536.7,3.27,1.17,N
74,4.70,1536.4,3.83,1.33,N
108,5.48,1535.3,2.23,1.16,N
103,3.20,1535.1,3.65,1.36,N
76,2.04,1533.9,3.91,1.32,N
94,3.95,1531.3,3.99,1.40,N
90,5.40,1528.6,3.85,1.38,N
93,6.24,1526.3,4.68,1.38,N
83,4.76,1526.3,3.93,1.34,N
84,5.61,1524.9,4.14,1.32,N
85,3.17,1521.0,2.67,1.19,N
70,3.60,1520.2,3.99,1.47,N
89,5.26,1518.7,4.36,1.35,N
96,6.59,1514.8,3.14,1.25,N
99,4.33,1514.7,2.67,1.12,N
83,2.53,1514.1,2.65,1.14,N
96,5.60,1509.9,3.34,1.26,N
91,4.37,1509.3,4.00,1.42,N
84,5.11,1508.8,3.70,1.42,N
83,2.81,1507.1,2.60,1.23,N
101,7.82,1507.0,4.15,1.37,N
80,4.17,1506.9,4.37,1.40,N
77,3.38,1501.7,3.93,1.45,N
88,3.93,1501.3,4.18,1.49,N
86,4.97,1498.1,4.14,1.36,N
86,5.64,1497.7,3.98,1.42,N
77,6.35,1494.5,4.07,1.46,N
75,5.29,1492.7,4.21,1.47,N
91,8.03,1491.9,3.77,1.25,N
78,5.36,1491.4,4.36,1.41,N
73,4.05,1491.0,4.01,1.33,N
71,4.09,1490.6,3.66,1.26,N
97,3.78,1489.6,3.59,1.42,N
102,4.32,1488.2,4.09,1.43,N
75,5.96,1487.4,4.01,1.44,N
99,4.30,1487.3,2.59,1.15,N
80,4.86,1486.8,4.02,1.45,N
89,3.57,1485.7,3.40,1.22,N
89,2.48,1485.6,4.26,1.42,N
109,3.72,1485.0,2.84,1.21,N
88,5.03,1484.1,3.79,1.37,N
91,7.54,1483.4,4.08,1.37,N
81,5.66,1483.1,3.65,1.21,N
81,4.22,1482.8,4.16,1.29,N
102,4.56,1479.8,3.43,1.32,N
67,6.63,1477.4,5.04,1.48,N
96,7.12,1475.8,4.33,1.30,N
97,4.02,1472.7,2.23,1.17,N
92,3.33,1469.7,2.89,1.23,N
74,7.00,1467.0,3.69,1.35,N
78,3.12,1466.7,3.50,1.36,N
77,3.08,1465.7,4.40,1.46,N
95,3.63,1464.1,3.73,1.28,N
91,5.14,1460.8,4.15,1.33,N
72,2.29,1460.3,4.65,1.54,N
93,5.45,1455.3,3.66,1.37,N
87,7.73,1454.7,3.89,1.22,N
76,4.19,1453.8,4.09,1.38,N
86,4.09,1453.6,3.42,1.29,N
79,3.56,1452.4,4.05,1.50,N
51,3.11,1451.6,3.21,1.38,N
78,4.15,1445.4,2.51,1.22,N
85,2.73,1444.3,3.04,1.29,N
68,3.87,1443.9,3.78,1.33,N
83,3.46,1442.1,3.33,1.36,N
80,3.99,1437.9,2.90,1.27,N
117,6.20,1436.5,2.03,1.09,N
94,4.88,1436.3,2.85,1.25,N
70,5.42,1435.3,4.07,1.43,N
84,2.17,1434.8,4.43,1.52,N
83,6.14,1434.6,4.37,1.34,N
84,6.60,1432.4,4.49,1.42,N
56,2.79,1432.3,3.44,1.34,N
67,4.97,1431.9,3.82,1.38,N
69,5.79,1431.7,3.62,1.32,N
83,3.32,1430.6,4.35,1.48,N
100,4.43,1429.7,4.00,1.49,N
65,3.92,1428.8,2.84,1.22,N
80,3.55,1428.7,4.13,1.47,N
91,3.04,1427.0,2.96,1.23,N
79,4.16,1426.9,4.25,1.46,N
80,3.25,1424.0,2.77,1.18,N
86,5.61,1422.9,4.93,1.42,N
70,3.68,1418.0,2.98,1.27,N
73,5.38,1415.1,2.92,1.25,N
87,7.75,1412.7,4.47,1.40,N
69,2.95,1412.6,3.12,1.25,N
67,3.71,1411.3,3.73,1.30,N
85,3.11,1410.3,3.01,1.24,N
76,3.70,1406.4,4.60,1.47,N
94,2.42,1405.0,3.53,1.35,N
72,1.75,1405.0,2.05,1.09,N
73,3.61,1405.0,3.77,1.28,N
88,5.40,1404.5,4.46,1.50,N
82,7.13,1403.5,3.46,1.34,N
83,5.01,1402.7,3.79,1.28,N
73,2.03,1401.6,4.29,1.44,N
80,3.37,1401.2,3.80,1.35,N
57,3.93,1400.6,2.72,1.24,N
71,3.89,1394.3,3.52,1.43,N
80,6.52,1394.0,4.25,1.35,N
92,4.65,1393.0,2.70,1.29,N
75,3.66,1392.7,3.75,1.49,N
86,3.35,1390.4,3.61,1.39,N
99,5.65,1390.4,2.88,1.28,N
109,5.96,1390.1,3.11,1.23,N
78,5.17,1389.7,4.04,1.29,N
67,4.78,1389.3,3.98,1.34,N
62,3.98,1388.3,4.24,1.49,N
70,5.35,1387.2,4.68,1.55,N
97,5.71,1386.7,3.14,1.29,N
80,3.04,1385.0,3.24,1.29,N
63,3.64,1384.7,3.11,1.21,N
85,7.45,1381.8,4.03,1.33,N
86,10.32,1380.0,3.67,1.27,N
94,7.05,1379.9,3.61,1.24,N
76,3.89,1377.5,4.54,1.50,N
91,8.54,1376.6,3.34,1.14,N
97,3.62,1376.5,3.31,1.36,N
73,6.38,1376.4,4.25,1.48,N
75,5.60,1375.7,3.24,1.23,N
96,4.53,1375.6,2.94,1.19,N
104,5.74,1375.0,3.48,1.24,N
74,4.23,1373.3,3.83,1.43,N
96,4.87,1372.7,3.84,1.34,N
82,2.91,1368.3,2.55,1.13,N
86,6.18,1368.0,4.42,1.40,N
61,2.13,1366.3,3.93,1.39,N
56,2.37,1365.1,4.94,1.55,N
81,2.91,1365.0,2.75,1.17,N
85,5.06,1362.1,4.11,1.60,N
79,3.92,1361.3,3.43,1.45,N
76,3.57,1359.7,2.43,1.15,N
74,2.90,1359.4,2.54,1.24,N
86,5.89,1358.7,3.46,1.31,N
56,5.37,1357.0,4.99,1.49,N
76,4.85,1356.4,4.58,1.37,N
71,6.78,1356.3,4.60,1.38,N
78,7.25,1354.6,4.17,1.34,N
96,4.53,1353.3,2.94,1.28,N
81,5.76,1350.7,4.82,1.42,N
66,3.80,1349.4,2.81,1.23,N
74,6.00,1340.7,4.44,1.42,N
93,4.33,1340.0,3.14,1.32,N
69,6.48,1338.1,4.71,1.51,N
77,5.71,1337.2,3.74,1.35,N
84,3.44,1336.1,2.51,1.13,N
73,6.20,1334.9,4.46,1.35,N
66,5.71,1332.6,4.26,1.40,N
77,2.56,1330.7,4.29,1.47,N
64,2.10,1330.6,4.43,1.52,N
49,3.99,1327.3,3.83,1.37,N
70,2.51,1325.7,3.22,1.18,N
74,6.23,1325.3,4.16,1.44,N
63,1.62,1324.8,4.14,1.55,N
80,2.87,1324.3,4.66,1.54,N
74,6.63,1323.6,4.34,1.36,N
82,5.70,1322.7,4.57,1.33,N
79,5.74,1322.6,5.01,1.46,N
91,3.64,1322.0,2.42,1.21,N
82,5.72,1321.1,3.30,1.30,N
102,7.63,1320.4,3.24,1.14,N
59,4.49,1319.8,4.88,1.49,N
87,7.26,1319.7,3.27,1.24,N
57,0.68,1319.6,2.83,1.22,N
75,3.14,1318.5,3.97,1.52,N
62,4.06,1317.9,2.85,1.26,N
69,5.11,1317.1,3.74,1.32,N
69,5.17,1316.6,3.91,1.52,N
90,7.43,1314.8,4.13,1.26,N
103,5.71,1314.0,4.18,1.34,N
98,4.67,1311.4,3.99,1.21,N
90,6.89,1310.9,2.96,1.25,N
69,3.30,1310.4,3.94,1.39,N
80,3.92,1309.7,3.51,1.33,N
88,3.03,1305.4,3.94,1.37,N
76,5.71,1304.4,3.50,1.30,N
65,5.95,1303.3,4.45,1.43,N
66,2.64,1303.1,4.11,1.49,N
67,1.87,1302.7,3.10,1.25,N
72,3.55,1301.4,4.20,1.48,N
67,4.91,1300.3,3.61,1.28,N
74,5.01,1297.9,3.64,1.33,N
70,2.60,1295.6,4.09,1.42,N
87,8.19,1295.0,3.16,1.26,N
62,4.41,1294.3,2.86,1.25,N
76,4.35,1293.1,2.90,1.28,N
81,3.45,1291.6,2.33,1.08,N
86,7.18,1291.2,3.57,1.23,N
78,6.23,1291.2,3.91,1.26,N
71,8.73,1289.4,3.03,1.26,N
62,2.33,1288.7,4.46,1.45,N
73,3.38,1287.0,3.91,1.34,N
62,3.39,1285.9,4.39,1.37,N
74,6.98,1285.6,4.80,1.44,N
85,5.29,1283.9,3.58,1.21,N
68,5.06,1283.8,4.00,1.32,N
62,3.91,1283.3,4.21,1.26,N
73,6.13,1283.0,4.21,1.36,N
63,3.97,1278.3,4.85,1.48,N
66,3.88,1277.1,3.14,1.33,N
77,3.23,1277.0,3.65,1.34,N
60,5.36,1274.2,5.04,1.45,N
59,3.44,1274.0,2.66,1.33,N
63,5.67,1270.3,4.68,1.39,N
70,6.87,1268.7,4.40,1.44,N
60,5.98,1268.1,4.19,1.51,N
72,3.92,1267.9,3.98,1.34,N
69,3.80,1267.3,3.15,1.33,N
69,2.37,1263.3,3.53,1.27,N
62,4.86,1262.9,4.20,1.41,N
81,4.97,1261.0,3.35,1.30,N
93,5.29,1259.6,3.32,1.10,N
79,4.18,1258.6,3.23,1.28,N
74,5.42,1258.3,3.78,1.31,N
79,2.59,1257.6,3.52,1.36,N
68,3.19,1257.3,3.14,1.24,N
57,4.46,1256.1,2.87,1.34,N
68,5.20,1255.6,3.83,1.42,N
92,2.25,1254.3,3.75,1.42,N
65,4.20,1252.0,3.00,1.33,N
72,3.67,1251.1,4.59,1.66,N
53,3.37,1251.0,3.91,1.40,N
64,4.46,1250.6,3.22,1.30,N
81,3.69,1248.0,2.39,1.16,N
75,6.02,1246.5,3.39,1.33,N
74,5.26,1246.2,4.61,1.39,N
90,7.04,1245.7,2.89,1.33,N
67,5.95,1244.2,3.44,1.21,N
70,5.83,1243.6,4.42,1.39,N
87,7.51,1241.9,2.83,1.27,N
61,2.88,1241.7,4.89,1.56,N
70,4.02,1241.5,4.68,1.40,N
61,2.51,1239.3,3.67,1.46,N
66,3.56,1239.3,2.68,1.28,N
68,5.43,1238.7,4.85,1.43,N
62,5.23,1238.5,3.57,1.26,N
84,4.89,1237.9,4.03,1.43,N
66,2.96,1237.7,3.39,1.29,N
54,6.80,1236.5,4.08,1.44,N
57,6.04,1236.0,3.55,1.31,N
59,4.90,1235.5,3.74,1.27,N
69,4.49,1234.0,4.39,1.46,N
66,6.09,1232.7,4.72,1.47,N
68,2.94,1232.4,4.65,1.53,N
70,5.72,1231.0,4.18,1.41,N
83,6.33,1229.3,3.54,1.33,N
77,4.13,1228.6,3.83,1.42,N
62,4.46,1225.7,3.86,1.32,N
80,6.53,1224.4,4.05,1.37,N
63,3.25,1221.9,5.02,1.65,N
72,6.60,1221.6,4.17,1.43,N
71,5.60,1221.6,4.03,1.28,N
94,3.60,1221.3,2.28,1.16,Y
76,8.26,1219.7,2.21,1.00,N
59,6.12,1219.0,3.91,1.33,N
68,4.51,1218.4,3.55,1.30,N
67,4.94,1218.0,3.56,1.28,N
80,3.45,1216.7,3.55,1.34,N
62,5.31,1216.0,3.56,1.25,N
70,3.39,1215.9,2.80,1.21,N
58,2.84,1215.7,3.47,1.30,N
68,3.56,1214.3,3.93,1.46,N
79,9.76,1213.9,3.31,1.23,N
68,4.98,1213.7,3.29,1.27,N
73,5.04,1213.6,3.99,1.29,N
75,3.90,1210.3,3.35,1.31,N
72,5.21,1209.5,3.53,1.29,N
67,3.03,1208.3,3.68,1.31,N
63,4.08,1207.3,3.09,1.28,N
63,3.38,1206.6,4.24,1.45,N
67,7.28,1205.3,3.90,1.36,N
75,6.52,1204.4,3.63,1.28,N
56,6.12,1202.0,3.71,1.27,N
55,5.44,1202.0,4.28,1.31,N
62,5.01,1201.0,4.14,1.32,N
54,3.76,1200.6,3.22,1.33,N
63,5.71,1200.6,5.37,1.63,N
68,6.05,1198.7,4.55,1.41,N
61,4.30,1194.3,4.38,1.42,N
68,4.82,1194.3,4.35,1.51,N
76,6.96,1191.0,3.38,1.30,N
80,4.88,1190.4,3.89,1.31,N
58,4.46,1190.0,4.17,1.43,N
55,6.48,1189.6,4.40,1.49,N
50,2.54,1189.3,3.55,1.38,N
63,4.10,1188.5,3.99,1.42,N
62,7.62,1188.2,3.42,1.22,N
87,8.73,1187.6,4.08,1.30,N
63,4.59,1186.5,3.59,1.31,N
71,3.67,1186.1,3.89,1.42,N
82,3.91,1186.0,3.13,1.24,N
65,6.78,1184.4,4.57,1.38,N
51,3.72,1183.3,4.09,1.37,N
65,3.11,1179.7,3.20,1.43,N
71,6.53,1178.7,4.94,1.44,N
67,5.88,1178.7,4.86,1.43,N
69,5.11,1177.5,3.52,1.39,N
63,2.86,1176.7,3.78,1.43,N
72,5.12,1175.9,4.15,1.37,N
67,7.11,1175.9,4.89,1.40,N
79,5.26,1174.8,2.79,1.33,N
52,5.31,1174.4,4.44,1.40,N
54,3.99,1169.3,3.89,1.42,N
69,5.70,1169.2,3.50,1.34,N
58,5.13,1169.0,5.03,1.46,N
78,6.81,1168.2,4.55,1.36,N
61,7.13,1168.1,4.73,1.50,N
80,7.14,1165.5,3.19,1.19,N
53,4.50,1164.9,4.27,1.62,N
80,7.98,1163.4,3.66,1.36,N
85,8.20,1162.9,3.76,1.31,N
69,7.51,1161.9,4.28,1.33,N
45,2.43,1161.8,4.49,1.51,N
78,5.13,1161.4,4.15,1.37,N
68,5.44,1160.0,4.00,1.39,N
64,2.27,1159.9,4.40,1.52,N
57,1.39,1159.9,4.50,1.45,N
62,4.87,1158.9,5.03,1.46,N
68,5.45,1158.7,3.81,1.40,N
63,4.48,1156.6,3.96,1.37,N
57,6.05,1152.5,5.01,1.47,N
72,8.45,1151.2,3.82,1.44,N
66,6.37,1148.8,4.59,1.41,N
52,5.17,1148.6,4.17,1.42,N
63,6.00,1147.5,3.46,1.40,N
58,5.65,1145.6,3.43,1.25,N
51,7.92,1144.9,4.17,1.40,N
41,2.07,1143.4,3.89,1.38,N
53,3.70,1142.6,3.80,1.41,N
59,9.07,1141.4,4.57,1.48,N
56,6.05,1141.2,4.70,1.30,N
57,3.31,1141.1,4.30,1.47,N
35,3.74,1137.7,3.59,1.38,N
59,5.57,1137.0,3.74,1.30,N
52,3.52,1133.9,4.38,1.53,N
59,5.45,1133.9,4.37,1.47,N
73,6.97,1132.4,3.16,1.20,N
69,2.62,1132.0,3.22,1.24,N
68,4.69,1131.6,4.59,1.62,N
59,3.81,1130.7,3.10,1.38,N
58,2.40,1130.6,3.96,1.40,N
69,7.25,1128.2,3.30,1.24,N
62,5.97,1128.2,4.95,1.56,N
70,7.01,1126.9,4.46,1.33,N
58,5.09,1124.3,3.89,1.31,N
66,5.70,1123.7,4.14,1.38,N
44,5.05,1123.2,3.83,1.46,N
68,5.11,1123.0,3.66,1.30,N
49,5.88,1122.4,3.85,1.32,N
65,3.92,1120.7,4.10,1.39,N
59,4.13,1120.4,4.27,1.43,N
56,6.73,1120.0,3.87,1.38,N
61,5.97,1119.5,3.52,1.31,N
54,5.41,1115.9,5.19,1.54,N
68,7.23,1113.9,3.92,1.35,N
76,7.36,1113.3,4.49,1.30,N
54,2.31,1111.4,5.04,1.67,N
58,2.37,1111.3,3.81,1.41,N
71,7.45,1111.2,5.14,1.55,N
66,5.20,1109.3,3.80,1.39,N
43,2.78,1108.3,4.33,1.45,N
68,6.27,1107.2,3.58,1.31,N
69,4.36,1106.9,4.31,1.35,N
60,3.65,1106.0,3.47,1.25,N
54,6.44,1105.6,3.23,1.35,N
55,3.50,1102.1,4.06,1.44,N
56,5.67,1099.8,3.75,1.35,N
60,4.15,1099.5,4.53,1.51,N
65,3.21,1099.4,4.66,1.47,N
83,3.04,1097.1,3.00,1.26,N
57,4.63,1096.6,3.81,1.34,N
70,6.04,1094.4,3.66,1.29,N
61,2.26,1094.0,3.66,1.36,N
69,8.05,1093.1,4.03,1.35,N
66,5.61,1091.9,3.12,1.36,N
48,3.42,1091.6,2.79,1.21,N
66,2.95,1089.7,3.68,1.39,N
61,9.36,1089.1,2.87,1.06,N
59,3.44,1088.0,3.45,1.33,N
56,2.48,1087.0,3.69,1.35,N
65,3.15,1086.9,3.87,1.49,N
64,2.86,1086.3,4.18,1.44,N
57,4.44,1086.0,3.85,1.37,N
43,3.12,1086.0,2.85,1.21,N
39,4.33,1085.8,4.81,1.54,N
60,4.72,1085.4,3.51,1.21,N
64,6.20,1085.1,3.78,1.35,N
80,6.38,1085.1,2.93,1.33,N
38,4.73,1084.4,3.57,1.44,N
59,3.31,1080.7,3.68,1.49,N
53,5.46,1080.3,4.13,1.37,N
68,4.62,1079.7,4.74,1.45,N
77,4.59,1079.6,3.63,1.33,N
59,5.13,1078.6,3.66,1.24,N
63,8.72,1077.0,3.85,1.34,N
64,1.43,1076.8,4.11,1.44,N
66,3.76,1076.4,3.71,1.40,N
47,2.26,1076.3,3.56,1.38,N
76,3.64,1075.3,3.46,1.41,N
80,7.62,1073.0,3.15,1.21,N
63,5.13,1072.8,4.06,1.39,N
52,3.89,1072.7,2.62,1.11,N
67,4.83,1072.3,3.13,1.33,N
58,3.59,1072.3,2.35,1.24,N
58,7.29,1071.8,3.97,1.41,N
65,8.74,1071.8,3.64,1.29,N
67,7.94,1071.5,3.45,1.37,N
58,2.48,1071.1,3.58,1.34,N
45,2.44,1070.8,4.88,1.52,N
51,4.96,1070.0,4.26,1.39,N
60,2.57,1069.6,4.09,1.50,N
71,4.24,1067.4,2.02,1.09,N
43,4.26,1066.6,4.46,1.44,N
63,4.79,1066.2,4.75,1.57,N
60,6.01,1066.0,4.54,1.41,N
56,5.90,1065.4,5.29,1.43,N
68,7.45,1065.3,3.52,1.26,N
48,2.50,1063.8,4.43,1.49,N
48,6.68,1063.1,3.98,1.43,N
55,5.99,1063.0,3.62,1.26,N
64,4.73,1062.7,3.13,1.21,N
68,3.08,1062.0,3.25,1.28,N
70,5.59,1060.5,3.72,1.35,N
61,6.28,1059.3,3.98,1.33,N
63,6.67,1059.1,3.57,1.40,N
53,4.46,1058.6,3.68,1.42,N
56,7.14,1057.5,3.11,1.22,N
67,3.11,1056.0,5.01,1.55,N
49,4.67,1054.7,4.52,1.48,N
61,4.72,1054.0,3.32,1.33,N
51,3.01,1052.6,4.17,1.37,N
71,2.54,1052.0,4.36,1.49,N
59,4.58,1050.1,4.18,1.48,N
70,4.49,1049.9,3.30,1.39,N
65,7.02,1049.3,3.53,1.31,N
43,3.06,1048.6,4.85,1.60,N
93,3.26,1044.9,3.50,1.37,N
70,6.79,1044.8,3.38,1.25,N
56,3.27,1043.2,2.76,1.18,N
68,7.43,1042.1,2.83,1.14,Y
50,2.22,1041.0,4.14,1.43,N
69,7.01,1040.7,3.07,1.21,N
69,4.16,1040.7,4.25,1.36,N
61,3.70,1040.0,3.59,1.26,N
55,3.89,1040.0,3.89,1.36,N
76,3.72,1038.7,3.90,1.46,N
64,4.10,1036.6,2.73,1.21,N
38,3.06,1034.0,4.30,1.41,N
55,5.01,1032.0,4.12,1.52,N
64,4.41,1030.7,2.87,1.07,N
56,6.33,1030.0,3.33,1.34,N
61,5.11,1029.0,3.76,1.56,N
57,7.58,1027.1,3.84,1.29,N
69,3.59,1026.6,3.52,1.31,N
53,3.34,1026.0,4.34,1.59,N
47,5.62,1025.6,4.55,1.41,N
48,4.40,1025.6,3.74,1.34,N
52,3.77,1025.3,3.41,1.30,N
54,4.74,1024.1,4.03,1.32,N
57,3.52,1024.0,2.73,1.20,N
67,3.20,1023.5,3.61,1.31,N
65,3.01,1023.0,3.40,1.40,N
66,8.74,1022.0,4.17,1.41,N
60,5.20,1020.6,3.89,1.36,N
55,6.11,1017.7,3.72,1.29,N
50,4.32,1017.6,3.85,1.32,N
73,5.15,1017.0,2.85,1.13,N
64,6.57,1011.7,3.91,1.32,N
42,2.51,1010.9,3.93,1.50,N
52,3.20,1010.0,3.01,1.19,N
50,5.18,1007.7,4.14,1.35,N
29,2.23,1007.7,4.87,1.58,N
51,7.41,1007.6,3.64,1.33,N
49,2.78,1004.9,4.44,1.52,N
63,6.07,1004.0,4.15,1.34,N
50,2.68,1003.8,4.76,1.55,N
54,4.61,1002.0,4.81,1.53,N
52,2.85,1001.9,3.78,1.39,N
54,3.82,999.6,3.37,1.33,N
66,1.79,999.2,3.95,1.41,N
68,3.26,999.0,2.42,1.15,N
59,5.76,998.9,4.17,1.33,N
48,4.62,997.0,5.05,1.46,N
45,4.25,997.0,4.44,1.39,N
57,3.16,996.3,4.18,1.54,N
40,6.85,995.7,3.15,1.25,N
49,3.12,994.2,4.30,1.56,N
60,3.00,990.8,3.69,1.30,N
57,3.71,990.0,4.05,1.35,N
58,5.56,988.4,3.88,1.42,N
72,2.68,988.4,3.70,1.38,N
53,2.54,987.4,4.83,1.71,N
53,4.69,986.3,2.86,1.18,N
48,4.94,986.2,4.29,1.35,N
57,5.32,986.0,2.65,1.20,N
65,2.84,979.4,2.47,1.20,N
46,4.36,979.0,3.71,1.21,N
51,7.15,978.6,4.05,1.40,N
53,5.00,975.6,4.52,1.49,N
46,2.74,975.6,3.56,1.38,N
48,7.01,973.5,3.97,1.36,N
44,3.26,972.9,3.18,1.24,N
68,6.42,972.6,5.09,1.56,N
47,5.26,972.0,5.01,1.47,N
47,4.67,971.4,3.78,1.38,N
57,6.89,971.3,4.12,1.31,N
50,4.24,970.3,2.93,1.30,N
55,4.81,970.1,4.54,1.50,N
37,2.35,969.0,4.81,1.43,N
60,5.11,967.3,4.03,1.39,N
48,3.99,964.4,3.01,1.29,N
57,5.58,963.7,3.86,1.33,N
50,5.58,963.1,4.19,1.34,N
41,5.01,963.0,4.56,1.47,N
60,6.79,961.7,3.78,1.38,N
42,3.85,960.9,3.84,1.48,N
47,4.25,960.7,5.05,1.46,N
69,6.60,959.4,3.29,1.28,N
63,7.23,958.0,4.15,1.26,N
54,2.67,958.0,3.92,1.38,N
59,5.51,956.7,3.59,1.43,N
57,5.16,954.0,4.46,1.36,N
46,5.19,951.7,4.43,1.33,N
53,5.38,949.0,4.64,1.43,N
37,3.66,948.0,4.17,1.51,N
59,10.83,946.3,3.73,1.23,N
51,4.67,946.0,4.14,1.36,N
48,3.19,946.0,3.68,1.45,N
66,2.55,945.7,3.46,1.30,N
46,7.60,944.7,4.32,1.31,N
50,3.24,944.7,3.68,1.42,N
36,2.60,944.3,3.39,1.38,N
61,9.29,944.0,2.79,1.14,N
49,2.42,944.0,4.60,1.53,N
55,3.32,944.0,4.23,1.45,N
56,3.44,943.7,3.80,1.43,N
56,3.89,942.3,3.37,1.39,N
40,5.92,941.7,4.86,1.45,N
50,1.99,941.6,4.03,1.40,N
47,3.79,940.3,4.00,1.36,N
75,3.34,939.8,3.45,1.34,N
54,3.24,938.3,4.10,1.36,N
50,3.95,937.8,4.13,1.38,N
59,4.04,936.6,3.08,1.25,N
42,5.98,936.5,4.77,1.55,N
47,4.29,933.3,3.32,1.37,N
65,3.56,932.4,3.52,1.37,N
51,4.69,931.2,3.67,1.38,N
40,1.61,931.0,4.68,1.54,N
43,2.00,929.4,3.54,1.35,N
59,9.20,928.5,3.76,1.30,N
40,4.28,928.3,3.92,1.39,N
36,5.09,928.2,3.65,1.28,N
53,6.61,925.6,4.65,1.43,N
55,3.85,925.3,2.97,1.35,N
36,2.72,925.0,4.16,1.51,N
43,3.10,923.4,3.40,1.31,N
62,5.21,923.3,3.54,1.31,N
46,7.36,922.7,4.03,1.33,N
45,6.04,922.0,4.99,1.51,N
40,8.95,921.7,4.24,1.36,N
53,5.84,921.5,4.11,1.33,N
46,3.41,920.4,3.78,1.44,N
54,4.04,919.9,3.96,1.44,N
57,6.76,918.6,3.42,1.18,N
38,2.93,918.6,4.28,1.40,N
51,3.11,918.2,3.85,1.35,N
59,5.27,918.0,3.32,1.31,N
50,4.34,918.0,5.05,1.46,N
57,5.00,917.1,4.02,1.38,N
56,8.17,916.6,3.15,1.23,N
57,7.32,916.6,3.76,1.22,N
69,9.19,916.3,3.63,1.29,N
51,4.28,915.1,3.96,1.26,N
46,6.12,913.1,3.26,1.25,N
59,3.97,913.0,3.26,1.22,N
37,4.23,913.0,4.62,1.51,N
40,5.55,912.5,4.08,1.37,N
46,5.59,911.8,4.54,1.46,N
56,4.86,911.0,4.65,1.45,N
36,2.72,910.3,3.37,1.29,N
56,8.01,910.2,3.65,1.30,N
62,6.28,910.0,3.56,1.27,N
54,4.22,909.7,3.09,1.33,N
55,6.82,909.3,3.63,1.37,N
45,5.99,909.3,3.98,1.30,N
43,5.53,908.8,4.79,1.47,N
41,3.08,908.3,2.74,1.18,N
39,2.97,907.4,3.87,1.46,N
40,7.06,907.0,5.58,1.55,N
45,6.53,906.1,3.65,1.30,N
47,5.96,906.1,4.27,1.46,N
33,4.80,904.4,3.97,1.38,N
36,2.85,904.0,2.92,1.30,N
60,6.99,904.0,3.57,1.26,N
38,3.04,904.0,4.40,1.52,N
47,11.92,903.0,2.31,1.00,N
46,6.13,902.7,3.56,1.26,N
53,3.99,902.2,3.85,1.45,N
54,4.78,902.0,3.88,1.33,N
46,6.28,901.4,3.79,1.36,N
57,6.13,901.0,4.18,1.29,N
51,3.72,900.0,4.81,1.43,N
45,1.85,899.4,4.75,1.55,N
51,8.09,899.3,3.71,1.34,N
44,4.37,897.6,4.07,1.47,N
48,3.75,897.3,4.29,1.43,N
51,7.75,897.3,4.64,1.39,N
50,5.08,896.4,4.36,1.46,N
62,7.54,894.4,4.10,1.36,N
42,4.50,894.1,3.83,1.38,N
57,4.52,893.4,3.88,1.37,N
47,5.20,892.7,4.18,1.44,N
48,6.80,892.3,5.10,1.57,N
51,5.94,892.0,5.03,1.49,N
40,2.33,891.3,3.05,1.35,N
53,7.63,890.6,3.79,1.22,N
37,4.95,890.5,4.28,1.46,N
46,2.77,889.6,4.05,1.38,N
48,6.50,885.8,3.00,1.24,N
42,5.25,885.4,4.31,1.44,N
44,8.99,884.7,3.19,1.30,N
41,1.60,884.0,2.66,1.17,N
48,3.95,883.8,4.06,1.35,N
48,3.63,882.0,2.95,1.28,N
52,3.22,881.0,4.14,1.38,N
28,1.39,881.0,3.26,1.29,N
51,3.29,880.6,3.72,1.45,N
52,6.57,880.0,4.00,1.36,N
65,3.03,880.0,3.64,1.40,N
45,2.96,879.4,3.87,1.37,N
48,5.34,879.3,3.97,1.36,N
53,8.74,879.1,3.90,1.38,N
57,5.91,878.9,2.75,1.18,N
38,5.07,875.7,3.76,1.32,N
44,2.64,875.3,3.20,1.29,N
52,2.00,874.1,4.03,1.50,N
49,5.75,873.7,4.03,1.31,N
